Divisions		Files Generated		Time
1266		9		24.480000
1267		9		23.793000
1268		9		24.406000
1269		9		24.401000
1270		9		24.371000
1271		9		23.964000
1272		9		24.236000
1273		9		24.655000
1274		9		24.138000
1275		9		24.086000
1276		9		23.993000
1277		9		24.539000
1278		9		23.790000
1279		9		23.060000
1280		8		20.105000
1281		8		20.811000
1282		8		20.439000
1283		8		20.221000
1284		8		20.401000
1285		8		20.360000
1286		8		20.843000
1287		8		20.254000
1288		8		20.372000
1289		8		20.300000
1290		8		20.452000
1291		8		20.893000
1292		8		20.431000
1293		8		20.442000
1294		8		20.294000
1295		8		20.452000
1296		8		20.987000
1297		8		20.321000
1298		8		20.457000
1299		8		20.472000
1300		8		20.292000
1301		8		20.946000
1302		8		20.485000
1303		8		20.338000
1304		8		20.400000
1305		8		20.430000
1306		8		20.947000
1307		8		20.422000
1308		8		20.389000
1309		8		20.398000
1310		8		20.474000
1311		8		20.838000
1312		8		20.471000
1313		8		20.467000
1314		8		20.389000
1315		8		20.490000
1316		8		21.074000
1317		8		20.453000
1318		8		20.546000
1319		8		20.563000
1320		8		20.409000
1321		8		21.068000
1322		8		20.577000
1323		8		20.410000
1324		8		20.554000
1325		8		20.611000
1326		8		20.943000
1327		8		20.478000
1328		8		20.454000
1329		8		20.755000
1330		8		21.265000
1331		8		20.406000
1332		8		20.920000
1333		8		21.464000
1334		8		20.240000
1335		8		20.871000
1336		8		21.497000
1337		8		20.135000
1338		8		20.843000
1339		8		20.794000
1340		8		20.224000
1341		8		20.782000
1342		8		20.697000
1343		8		22.151000
1344		8		26.226000
1345		8		26.245000
1346		8		26.435000
1347		8		26.262000
1348		8		25.663000
1349		8		26.173000
1350		8		26.159000
1351		8		26.381000
1352		8		26.316000
1353		8		26.383000
1354		8		25.943000
1355		8		25.994000
1356		8		26.207000
1357		8		26.843000
1358		8		26.196000
1359		8		25.706000
1360		8		26.695000
1361		8		26.116000
1362		8		26.124000
1363		8		26.160000
1364		8		26.399000
1365		8		26.151000
1366		8		26.096000
1367		8		26.190000
1368		8		26.675000
1369		8		25.794000
1370		8		25.801000
1371		8		25.871000
1372		8		26.340000
1373		8		25.939000
1374		8		25.913000
1375		8		25.829000
1376		8		25.822000
1377		8		25.835000
1378		8		26.023000
1379		8		26.064000
1380		8		26.466000
1381		8		25.923000
1382		8		25.905000
1383		8		25.943000
1384		8		26.605000
1385		8		25.987000
1386		8		25.816000
1387		8		25.911000
1388		8		26.304000
1389		8		26.094000
1390		8		26.073000
1391		8		25.887000
1392		8		26.290000
1393		8		25.770000
1394		8		25.976000
1395		8		26.003000
1396		8		25.794000
1397		8		25.811000
1398		8		25.803000
1399		8		26.341000
1400		8		25.807000
1401		8		25.880000
1402		8		25.777000
1403		8		26.408000
1404		8		25.805000
1405		8		25.803000
1406		8		26.082000
1407		8		25.697000
1408		8		25.881000
1409		8		25.887000
1410		8		26.036000
1411		8		26.012000
1412		8		25.876000
