Divisions		Files Generated		Time
5662		2		12.319000
5663		2		11.719000
5664		2		12.384000
5665		2		12.667000
5666		2		12.304000
5667		2		12.427000
5668		2		11.829000
5669		2		11.619000
5670		2		12.025000
5671		2		11.737000
5672		2		12.219000
5673		2		11.907000
5674		2		11.740000
5675		2		12.217000
5676		2		11.699000
5677		2		11.661000
5678		2		12.185000
5679		2		11.750000
5680		2		11.937000
5681		2		13.304000
5682		2		12.582000
5683		2		12.718000
5684		2		11.723000
5685		2		12.082000
5686		2		11.979000
5687		2		11.729000
5688		2		12.284000
5689		2		12.721000
5690		2		12.646000
5691		2		12.152000
5692		2		11.813000
5693		2		12.054000
5694		2		11.613000
5695		2		11.466000
5696		2		12.022000
5697		2		11.901000
5698		2		12.378000
5699		2		11.741000
5700		2		11.530000
5701		2		12.017000
5702		2		11.493000
5703		2		11.543000
5704		2		12.187000
5705		2		12.641000
5706		2		12.269000
5707		2		12.192000
5708		2		11.773000
5709		2		12.296000
5710		2		11.800000
5711		2		11.661000
5712		2		12.350000
5713		2		11.975000
5714		2		12.655000
5715		2		12.218000
5716		2		12.649000
5717		2		12.940000
5718		2		11.691000
5719		2		12.567000
5720		2		11.739000
5721		2		11.680000
5722		2		13.310000
5723		2		13.314000
5724		2		12.209000
5725		2		12.178000
5726		2		11.674000
5727		2		12.341000
5728		2		11.737000
5729		2		11.763000
5730		2		12.207000
5731		2		12.399000
5732		2		12.226000
5733		2		11.843000
5734		2		11.612000
5735		2		12.412000
5736		2		11.606000
5737		2		11.743000
5738		2		12.099000
5739		2		12.917000
5740		2		12.413000
5741		2		12.458000
5742		2		11.949000
5743		2		12.350000
5744		2		11.702000
5745		2		12.171000
5746		2		11.784000
5747		2		12.038000
5748		2		12.982000
5749		2		12.227000
5750		2		11.987000
5751		2		12.113000
5752		2		11.803000
5753		2		12.221000
5754		2		11.694000
5755		2		11.708000
5756		2		13.495000
5757		2		12.156000
5758		2		12.982000
5759		2		11.903000
5760		2		11.618000
5761		2		12.219000
5762		2		11.927000
5763		2		12.125000
5764		2		12.445000
5765		2		11.917000
5766		2		12.265000
5767		2		11.749000
5768		2		11.648000
5769		2		12.318000
5770		2		11.802000
5771		2		12.300000
